e3ligase,substrate
TRIM58,DYNC1I1;DYNC1LI2
RNF26,STING1;SQSTM1;IRF3
KCTD17,TCHP
NOSIP,PPP2CA;EPOR
MIB2,CYLD;DLL4;DLL3;DLL1;XDH;IKBKG;TBK1
FBH1,RAD51;ARF1;FBH1
FBXL18,FBXL7
FBXO3,SMURF1;FBXL12;HIPK2;EP300
TRIM26,IRF3
FBXL7,BIRC5;AURKA
RNF123,NFKB1;CDKN1B;CBX1;CBX5
RNF152,RRAGA;RHEB
FBXO21,EID1;ABCB1
FBXL12,ALDH3A1;XRCC5;CDKN1C;CAMK1;CAMKK2
HECTD2,PIAS1
FBXW12,IL22RA1
LNX2,NUMB
TRIM62,CARD9;TRIM62
PPARA,BCL2
CNOT4,RBM15;KDM5C;CNOT4;YAP1
KDM2B,FOS;H2AC20
CCNF,CDC6;CCP110;RRM2
NAT10,MDM2
TRAF3,MAP3K7;MAP3K14;IKBKE;TBK1
NEDD4L,RHOB;NDFIP2;SMAD3;SCN2A;SCNN1A;NEDD4L;SLC6A3;SCN3A;SCN8A;SCN9A;SCN10A;SLC11A2;SCNN1G;NTRK1;TTYH2;TSG101;SGK1;SCN5A;SLC38A2;SMAD2;CLCN5;TGFBR1;TNK2;PSPC1;APBB1;SLC1A3;KCNA3;BRAT1;KCNH2;TGFBR2;SCNN1B;NTRK2;TP63;OCLN;HGS;TRPV6;AMOT;RCAN1;ORAI1;DVL2;CRTC3;LGR5;LGR4;EIF2AK4
FBXL17,SUFU;BRIP1
ZNRF1,CAV1;GLUL;AKT1
FBXW10,CBX5
FBXO6,ATRN;TFRC;CHEK1;ERO1A
FBXO7,SPN;BIRC2;DLGAP5;CRBN
FBXO9,TELO2;TTI1
FBXO10,BCL2
FBXO22,KDM4A;BSG;KLF4;TP53
FBXO25,HAND1;ISL1;NKX2-5;ELK1
FBXO32,KCNMB1;EIF3F;MYOD1;FOXO1;MYOG;DUSP1;TNNI3;MYOT;CABIN1;MYBPC3;MYC;KLF4
FBXO40,IRS1
FBXL4,KDM4A
FBXL14,DUSP6;SNAI2;SNAI1;TWIST1
FBXL19,RAC1;RHOA;IL1RL1
FBXL21P,CRY1;CRY2
CBLB,EGFR;SYK;PLCG1;CBLB;SH3KBP1;SRC;PIK3R1;PIK3R2;IRS1;CD247
C10orf90,TP53
RBBP6,YBX1;ZBTB38
RNF41,PRKN;BIRC6;ERBB3;RNF41;ERBB4;MYD88;TBK1;IRF3;EPX;ZNF746;CEBPB
TRIM21,IRF8;USP4;IKBKB;CDKN1B;TRIM5;TRIM21;IRF3;CDT1;IRF7;RELA
VPS18,GGA3;PLK2
WWP1,KLF5;ERBB4;TP63;SMAD6;TGFBR1;RUNX2;RNF11;TP53;WWP1;SPART;KLF2;SMAD7;SMAD2;TGFBR2;CXCR4;LATS1;TRAF6;EPS15;SMAD4;PTEN;CDKN1B
TNFAIP3,RIPK1;TNFAIP3
MYLIP,LDLR;LRP8;MYLIP;VLDLR
TRAF3IP2,TRAF6
KLHL21,AURKB;EB1/MLL
ZFP91,MAP3K14
TRIM28,TP53;IRF7;PRKAA1;FBP1
FBXO33,YBX1;EIF3F
MAP3K1,MAPK1;FOSL2;DTX1;JUN;MAPK3
UBE4B,FEZ1;PTTG1;ATXN3;UNC45B;TP53
FANCL,FANCD2;FANCI;CTNNB1
ZC3HC1,CCNB1
RNF138,TCF7L2;LEF1;RNF138;XRCC5;RBBP8
ERCC8,ERCC6
RNF220,SIN3B;RNF220
RNF19A,SOD1;SNCAIP;CASR
WSB1,HIPK2;DIO2
MGRN1,TSG101
TTC3,AKT1;AKT2;AKT3
