e3ligase,substrate
SIAH1,SNCAIP;CTNNB1;SNCA;HIPK2;MAPRE3;EGLN1;PML;AFF1;HIF1A;HIF1AN;NUMB;PKD1;SYP;MYB;KIF22;TRIB3;PLCE1;KHDRBS3;RBBP8;KLF10;DCC;POU2AF1;GRM5;STAR;CACYBP;TERF2;ELL2;FLT3;BAG1;EGLN2;EGLN3;XIAP;JADE1;TNK2;ZEB1
UHRF2,PCNP;CCND1;CCNE1
FBXW11,IFNAR1;WEE1;NFKBIA;CTNNB1;FBXW11;NFKB1;PLK4;PRLR;CDC25B;BHLHE40;CDC25A;TBC1D4;CEP68;RCAN1;PER1;PER2;PDCD4;REST;CLSPN;SIPA1L2;DEPTOR;DLG1;YAP;FANCM;FBXO5;YAP1;IKBKB;CHUK;BTRC;DDIT4
RBCK1,IREB2;TAB2;IRF3;RBCK1;TAB3;TRIM25;PRKCA;IKBKG;RIPK1;BACH1;NR1I2
RAD18,PCNA;RFC2;TP53BP1;RAD18;FANCD2
CHFR,PLK1;HDAC1;KIF22;AURKA;CHFR;HLTF;SMARCA4;SMARCB1;SMARCD1;PARP1;PBK
UBE3A,RAD23A;RAD23B;ANXA1;PML;TP53;SCRIB;TSC2;BAK1;DLG4;GOPC;DLG1;NCOA3;SIPA1L1;RB1;MCM7;PTPN3;SNCA;ARPC3;CDKN1B;PSMD4;PRDX1;UCHL5;BLK;HHR23;ARNTL;LLGL1;UBE3A;NELFCD;PRRX1;ESR1;DDI1;PTPA;CEBPA
RNF19A,SOD1;SNCAIP;CASR
FBXO45,TP73;PAWR;ZEB1;ZEB2;SNAI1;SNAI2;TWIST1
WSB1,HIPK2;DIO2
MYLIP,LDLR;LRP8;MYLIP;VLDLR
TRAF2,RIPK1;TRAF3;KRR1;MAPK11;BIRC3;TICAM1;IKBKE;DUSP14;ZBTB17;TRAF2;MAP3K14
FBXO4,CCND1;TERF1;FXR1;MCL1;ICAM1
FBXO31,CCND1;CDT1;MDM2;PARD6A;CCND2;MAP2K6
SH3RF1,PDCD6IP;KCNJ1;HGS;KCNJ2;HERPUD1;HEY2
MGRN1,TSG101
CDC20,CCNB1;PTTG1;BUB1B;NEK2;CDKN1B;RUNX1;CDKN1A;MLL;RASSF1;CCNA2;CENPF;AXIN2;MCL1;PHF8;REV1;SP100;NEUROD2;KMT2A;HLA-DRB4;TRRAP
HUWE1,TP53;MYCN;HUWE1;MCL1;MYC;PIAS2;PCNA;HDAC2;MUTYH;MYOD1;ZBTB17;POLB;CDC6;PA2G4;HIST1H1B;HIST1H1A;HIST2H2AC;HIST2H2AB;HIST1H2BA;HIST1H2BB;HIST2H3C;HIST1H4F;H1-5;H1-1;H2AC20;H2AC21;H2BC1;H2BC3;H3C15;H4C9;NR1D1;ATOH1;WIPI2;BRCA1;SS18/SSX2;POLL
BTRC,NFKBIA;NFKB2;CDC25A;CTNNB1;RCAN1;WEE1;NFKB1;LPCAT1;C13orf34;DDIT4;FBXO5;DLG1;MDM2;PER1;SMAD3;SMAD4;ATF4;PRLR;NFKBIE;FANCM;CD4;SNAI1;NFKBIB;PER2;CREBZF;PLK4;REST;PKD2;MYC;CDC25B;PSMD4;KDR;EEF2K;FOXO3;CCNE1;USP37;UHRF1;GHR;TAZ;TFAP4;GSK3B;TIAM1;CDK1;BHLHE40;PDCD4;FZR1;TRIB2;BCL10;TRAF3IP2;IRAK1;GLI2;GLI3;YAP1;WWTR1;HSF1;NRF1;NFE2L2;ELF3;TP53;STAT1;SP1;TWIST1;BTG2;BTG1;BORA;MIS18A;CCND1;PTTG1;CLSPN;RASSF1;CASP3;BCL2L11;MCL1;HNRNPD;CPEB1;ELAVL1;TERF1;BMI1;PFKFB3;EPOR;IFNGR1;IL10RA;PTP4A3;DEPTOR;PHLPP1;HRAS;FN1;SPAAR;CTTN;FGD1;FGD3;CDH1;USP47;BST2;CEP68;NFE2L1;DAND5;CHUK;IFNAR1;METAP2;DLG5;COMMD1;FBXW11;LPIN2
TRAF3IP2,TRAF6
